tenure,monthly_charges,total_charges,senior_citizen,churn
1,29.85,29.85,f,f
34,56.95,1889.50,f,f
2,53.85,108.15,f,t
45,42.30,1840.75,f,f
2,70.70,151.65,f,t
8,99.65,820.50,f,t
22,89.10,1949.40,f,f
10,29.75,301.90,f,f
28,104.80,3046.05,f,t
62,56.15,3487.95,f,f
13,49.95,587.45,f,f
16,18.95,326.80,f,f
58,100.35,5681.10,f,f
49,103.70,5036.30,f,t
25,105.50,2686.05,f,f
69,113.25,7895.15,f,f
52,20.65,1022.95,f,f
71,106.70,7382.25,f,f
10,55.20,528.35,f,t
21,90.05,1862.90,f,f
1,39.65,39.65,t,t
12,19.80,202.25,f,f
1,20.15,20.15,f,t
58,59.90,3505.10,f,f
49,59.60,2970.30,f,f
30,55.30,1530.60,f,f
47,99.35,4749.15,f,t
1,30.20,30.20,f,t
72,90.25,6369.45,f,f
17,64.70,1093.10,f,t
71,96.35,6766.95,t,f
2,95.50,181.65,t,f
27,66.15,1874.45,f,f
1,20.20,20.20,f,f
1,45.25,45.25,t,f
72,99.90,7251.70,f,f
5,69.70,316.90,f,t
46,74.80,3548.30,f,f
34,106.35,3549.25,f,t
11,97.85,1105.40,f,t
10,49.55,475.70,f,f
70,69.20,4872.35,f,f
17,20.75,418.25,f,f
63,79.85,4861.45,f,f
13,76.20,981.45,f,f
49,84.50,3906.70,f,f
2,49.25,97.00,f,f
2,80.65,144.15,f,t
52,79.75,4217.80,f,f
69,64.15,4254.10,f,f
43,90.25,3838.75,t,f
15,99.10,1426.40,f,t
25,69.50,1752.65,t,f
8,80.65,633.30,t,t
60,74.85,4456.35,t,f
18,95.45,1752.55,t,t
63,99.65,6311.20,f,f
66,108.45,7076.35,t,f
34,24.95,894.30,f,f
72,107.50,7853.70,f,f
47,100.50,4707.10,f,f
60,89.90,5450.70,f,f
72,42.10,2962.00,f,f
18,54.40,957.10,f,f
9,94.40,857.25,f,t
3,75.30,244.10,f,f
47,78.90,3650.35,f,f
31,79.20,2497.20,f,f
50,20.15,930.90,f,f
10,79.85,887.35,f,f
1,49.05,49.05,f,f
52,20.40,1090.65,f,f
64,111.60,7099.00,t,f
62,24.25,1424.60,f,f
3,64.50,177.40,f,f
56,110.50,6139.50,t,f
46,55.65,2688.85,f,f
8,54.65,482.25,f,f
30,74.75,2111.30,t,f
45,25.90,1216.60,f,f
1,79.35,79.35,f,t
11,50.55,565.35,f,f
7,75.15,496.90,f,t
42,103.80,4327.50,f,f
49,20.15,973.35,f,f
9,99.30,918.75,f,f
35,62.15,2215.45,f,f
48,20.65,1057.00,f,f
46,19.95,927.10,f,f
29,33.75,1009.25,f,f
30,82.05,2570.20,f,f
1,74.70,74.70,t,f
66,84.00,5714.25,f,f
65,111.05,7107.00,f,f
72,100.90,7459.05,f,f
12,78.95,927.35,f,t
71,66.85,4748.70,f,f
5,21.05,113.85,f,t
52,21.00,1107.20,f,f
25,98.50,2514.50,t,t
1,20.20,20.20,f,f
1,19.45,19.45,f,f
38,95.00,3605.60,f,f
66,45.55,3027.25,t,f
68,110.00,7611.85,f,t
5,24.30,100.20,f,f
72,104.15,7303.05,f,f
32,30.15,927.65,f,f
43,94.35,3921.30,f,f
72,19.40,1363.25,f,f
55,96.75,5238.90,f,t
52,57.95,3042.25,f,f
43,91.65,3954.10,f,f
37,76.50,2868.15,t,t
64,54.60,3423.50,f,f
3,89.85,248.40,f,f
36,31.05,1126.35,f,f
10,100.25,1064.65,f,t
41,20.65,835.15,f,f
27,85.20,2151.60,f,f
56,99.80,5515.45,f,f
6,20.70,112.75,f,f
3,74.40,229.55,f,t
7,50.70,350.35,f,f
4,20.85,62.90,f,f
33,88.95,3027.65,f,f
27,78.05,2135.50,t,t
72,23.55,1723.95,f,f
1,19.75,19.75,f,f
71,56.45,3985.35,t,f
13,85.95,1215.65,f,f
25,58.60,1502.65,f,t
67,50.55,3260.10,f,f
1,35.45,35.45,f,t
2,44.35,81.25,f,t
43,25.70,1188.20,f,f
23,75.00,1778.50,f,f
64,20.20,1277.75,f,f
57,19.60,1170.55,f,f
1,70.45,70.45,t,t
72,88.05,6425.65,t,f
8,71.15,563.65,f,t
61,101.05,5971.25,f,f
64,84.30,5289.05,f,f
71,23.95,1756.20,t,f
65,99.05,6416.70,f,f
3,19.60,61.35,f,f
1,45.65,45.65,f,t
30,64.50,1929.95,f,f
15,69.50,1071.40,f,f
8,68.55,564.35,f,f
7,95.00,655.50,f,t
70,108.15,7930.55,f,f
62,86.10,5215.25,f,f
6,19.70,113.50,f,f
14,80.90,1152.80,f,f
22,84.15,1821.95,f,f
22,20.15,419.90,f,f
16,64.25,1024.00,f,f
10,25.70,251.60,f,f
13,56.00,764.55,f,f
20,82.40,1592.35,f,t
2,69.70,135.20,f,f
53,73.90,3958.25,f,f
11,20.60,233.90,f,f
69,19.90,1363.45,f,f
4,70.90,273.00,f,t
72,89.05,6254.45,f,f
58,45.30,2651.20,t,t
16,20.40,321.40,f,f
43,84.25,3539.25,f,f
2,104.40,242.80,f,t
14,81.95,1181.75,f,f
53,94.85,5000.20,f,t
32,20.55,654.55,f,f
34,24.70,780.20,f,f
15,74.45,1145.70,t,t
